N,Tweet,Negative,Neutral,Positive
4279,Arrebatao dando vuelta en la Jeepeta,,1,
4280,Gente escupiendo pa arriba 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 de formaron los carnavales,,1,
4281,"Sometase toda persona a las Autoridades Superiores las cuales Son: El Padre, Hijo Espíritu Santo, La Autoridad de su Palabra y la Autoridad de la Conciencia.",,1,
4282,¿Recuerdas cuando te uniste a Twitter? ¡Yo sí! #MiAniversarioDeTwitter,,1,
4283,"Maldito tiempo quiero deternete no creo en la suerte, vivo de la muerte ya para mi es literal 🎼🤟🏾🔥",1,,
4284,Uff tweetazo!!! Ojalá la directiva del lo leyera!!!,,,1
4285,Nunca es tarde para cumplir la meta que mas anhelas 😍❤️ ¿Que les parece?,,,1
4286,Cha el insta ta enverga o que ?,1,,
4287,Recularon! Ministerio de Seguridad cancela compra de municiones por $7.1 millones en medio de pandemia -,,1,
4288,Nadie quiere ver a sus hijos presos. Quien metió a esos muchachos en esas aventuras ?,,1,
4289,entonces siempre estuvo en panamá,,1,
4290,"Cargar es lo peor, antes en 1:15 minutos estaba al 100% ahora demora 2 hrs y algo en cargarse y apagado😒😑 Es de lo peor, ya varias electrónicas no lo están vendiendo ya que han recibido varias quejas del mismo en esta parte de Batería y también se calienta horrible.",1,,
4291,Alguien sabe donde puedo comprar The Last of Us II? 😫😫,,1,
4292,"Muy penoso Maui, todos debemos ser solidarios.",,1,
4293,"En este Business for Millennials, nos explica la diferencia a la hora de pedir plata prestada.",,1,
4294,Tampoco preguntaron que opinaba de los casos que le amañó  en Suiza 🤦‍♂️,,1,
4295,Mucha personas con máscaras en el aeropuerto internacional de Tocumen... Da miedo 😨 brohhh...,,1,
4296,"Si alguien todavía tenía la duda de para qué sirve el Parlacen, espero que ya vaya quedando más que claro. Otra vez.",,1,
4297,lo más sad es que entrevistaron a muchachas que habían sido engañadas y puestas a trabajar en sitios como *Capri night club* y se les exigía que se acostaran con 10 hombres por noche para pagarles a los dueños (obviamente les quitaban pasañorte identidades etc),1,,
4298,No es tanto que tenga el plan porque no es lo mucho que se haga los presidentes anteriores también tenían; pero cuando Dios convocó hicieron caso omiso. Dios convocará nuevamente a la nación.,,1,
4299,"SI CREEN QUE YO A ESTA EDAD VOY A PAGAR POR GRITARLE A ZORRO QUE NO SE LO LLEVE tienen toda la razón, si lo haré.",,1,
4300,Por qué se conmemora el Día Internacional de la Mujer,,1,
4301,"Vengo del 2020, en efecto, tienes la puta razón!",,1,
4302,"Lo digo en frío. El asunto de los salvoconductos, se ha prostituido en Panamá.",,1,
4303,"Después de tanto trabajo, es bueno el descanso.!!! Éxitos y Bendiciones Mil.!!!",,,1
4304,Que triste .que diferencia el PRD DE HOY. NO ES LO MISMO QUE EL TORRIJISMO .LO DICE UN FUNDADOR PRIMERO TORRIJISTA DESPUES PRD. HOY SON VIVIDORES DE LA IMAGEN DEL VIEJO.,1,,
4305,Jaja en serio esperaban algo bueno del,1,,
4306,"Repito lo que paso con Cosca reveló una situación de manejo de fondos de la Iglesia, ahora que digan como quedaron esas cuentas, por cosas como esas no creo en la Iglesia Católica... 🤷‍♂️",1,,
4307,No me extrañaría que el gobernador de Guna Yala hubiese etiquetado las pacas con un logo de Omar Torrijos.,,1,
4308,"Estimada Mariela, tengo amistades estudiando en España e Italia (que están en las mismas), ¿Por qué a los doctores sí y a ellos no?",1,,
4309,"¿Porque para Gaby solamente? Nito también está metido en ese paquete, por obra u omisión.",1,,
4310,_ ¿Tu crees que con $5k al mes va a opinar? El tipo está en el mismo barco que Judy.,1,,
4311,Es fácil hablar con 2 millones atorados en la garganta.,,1,
4312,quisiera irmee de viaje estos días☹️,1,,
4313,a veces se pasan.. estresan,1,,
4314,"Invitación aceptada, dígame cuando 😊😘",,,1
4315,Se siente bien no ser solo el segundo esquizofrenico de Panamá. Somos millones.,,,1
4316,Más claro de ahí no canta un gallo,,1,
4317,Las grandes ironías del GobierNITO.,1,,
4318,Porque aparentemente el gobierno está para premiar a los ineficientes.,1,,
4319,La recta de Balboa por donde está el edificio de la adm,,1,
4320,Tampoco preguntaron que opinaba de los casos que le amañó  en Suiza 🤦‍♂️,,1,
4321,El colegial regresó sin los niños 😱,1,,
4322,Te amo hija querida .mi bruja limon.gracias por el bello dia que pasamos hoy.,,,1
4323,"Hola, espero con ansias su reacción como autoridad sobre lo ocurrido en Coronado el día de hoy. 😊",1,,
4324,Gracias Amiga por sacar tiempo y aclarar mis dudas. Hasta el momento no hay ley que reglamente eso... 👍,1,,
4325,"Chuzo, se hubiera robado el barco, el agua y los marineros 😂😂😂😂",,1,
4326,"Con la Ayuda de Dios, que ilumina a los Científicos, Doctores, enfermeros y trabajadores de la Salud, pronto el mundo saldrá de esta Crisis, y podemos decir juntos: Todo lo puedo en Cristo que me Fortalece Flp. 4, 13 Sigamos Orando por el mundo entero.",,,1
4327,Gracias  por construir el hub.,,,1
4328,Adivinen quien ta’ contenta porque se compro su primer sombrero tipico 💖,,,1
4329,no me entiendo tampoco 😭 si yo soy bien fresa,1,,
4330,Esta la botadera de personal fuck up 😖,1,,
4331,"no me representa, partida de ladrones y brazo derecho de la dictadura que nos arrebató el futuro de muchos panameños.",1,,
4332,Godboy....x lo menos sus modales los heredo o de la school o algún otro familiar.,,1,
4333,Será el fin de ellos ya que eso no entra en Panamá este país le pertenece al Rey de reyes. Quien gobierna en el cielo y en la tierra.,,,1
4334,Preguntas que nadie pregunta ... Cerrarán los casinos ?,,1,
4335,"  Soy O-, Si no me equivoco puedo donarle sangre ¿cierto?",,1,
4336,Y nadie quedó preso por los ventiladores... nos agarran de 🤡,1,,
4337,Hahahaha tuve que venir a ver el tweet!!!,,1,
4338,"Si abren las iglesas, que abran los moteles. Cada una se arrodilla donde quiere no?",,1,
4339,"Fuerza, pronto saldremos de esta!",,,1
4340,Zoolaiii en su máxima expresión.,,1,
4341,Tienes que tener el estomago bien lleno para criticar comida regalada,,1,
4342,El de suéter naranja era mi garra en la escuela!!! 🔥🔥,,,1
4343,Por el bien del pais HAGALO NO AMENACE PROCEDA.,,1,
4344,Es podido analizar que alvaro no esta de parte de los Pobres por que no lo es escuchado decir nada solo quédese en su casa y cumpla con la cuarentena,,1,
4345,Esa es la idea de los políticos corruptos; tener al pueblo ignorante. Sr. este post usted tiene influencia en instituciones del estado? Tiene en ?,,1,
4346,Yo seré el primero en asistir a esa convocatoria,,,1
4347,Si creen que medicina es Difícil el primer año no se imagi como es en 5to año 🥴,,1,
4348,Todo Panamá impactado en Noviembre con los rebrotes,,1,
4349,cuando lo encuentren me avisan!,,1,
4350,"hombre tirando basura. Pero él amenaza al joven.... Soy abogado te denuncio si me publicas""""",1,,
4351,"Igual a las figuras contemporáneas, las cabezas llenas de mierda.",1,,
4352,Cada quien vive su verdad a su manera.,,1,
4353,"Me encanta la atencion que me prestas solo por decirte que no agrupes a los extranjeros. Me siento super importante. Gracias, gracias. :)",,1,
4354,"Lo que se necesita es reconocer y respetar la Autoridades Superiores las cuales son: Padre, Hijo y Espíritu Santo. La Autoridad de su palabra y la Autoridad de la Conciencia. Porque los hombres deben gobernar bajo la Soberanía de Dios.",,1,
4355,Dígale eso a los pro familia 🤣,,1,
4356,"Hay cosas que mejor se guardan en el cajón del olvido. Esta es una. Guárdenla atrás, bien atrás. De las peores que he visto!",1,,
4357,"Por mucho que tu vivas en áreas de supuesta pobreza, nada justifica acciones como las que se dieron en Curundú, no había distinción de edad, lamentable, el respeto a lo ajeno es un valor que se enseña en casa... 👍🇵🇦🙏",1,,
4358,Felicidades ya era necesario un estadio para el Fútbol Americano panameño... 👍,,,1
4359,"Me encantó tu escrito (escuchaba La Previa, cuando mencionaron el tema). Coincido contigo en gran parte: me parece interesante que castigue a las personas buenas y premie a las malas. Mi opinión es que NO necesito creer en él para ser bueno y tener valores. Saludos 😊",,,1
4360,Que fucked up vivir así con ese tipo de personas como vecinos...,1,,
4361,Las tasas de mortalidad aumentan gradualmente según las edades,,1,
4362,"Bueno, así como usted salió a pagar unas cuentas"" (que se pueden pagar por banca en línea), así mismo la gente salió a hacer sus mandados. 😊""",,1,
4363,Al Capone mirándote decepcionado de ver cómo tu negocio de contrabando no duro ni un mes ...,,1,
4364,"Con el respeto que se merece la ministra, ella es hermosa 😍",,,1
4365,"Cuál fue la experiencia, te measte???",,1,
4366,Por que acabo de ver un video donde me tienen que sacar asi mismo mi muela del juicio 😿 que trauma,1,,
4367,"No tenemos mascarillas para los médicos, pero tenemos drones? Fix the basics",,1,
4368,ya se me paso la amargura viendo los videos de auro JAJAA los de las bromas telefónicas 🤣🤣🤣🤣🤣 que risa,,,1
4369,Quiero hacer un tik tok y no tengo ni la mas minima puta idea,1,,
4370,Dios mio nada mas viendo eso aumente 10 libras ☹️😹 (se ve delicious),,,1
4371,Lastima con esta gente de llevo esperando un producto desde hace 15 días y nada que llega. Y ahora esto. Es que de verdad la sinvergüenzura no conoce límites. A mí me dijeron que todavía no se podía retirar en tienda.,1,,
4372,El de suéter naranja era mi garra en la escuela!!! 🔥🔥,,,1
4373,uno de mis ejemplos a seguir profesionalmente siempre será mi hermana 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,,,1
4374,"_ Guantio a la mujer? Ahh no perate, eso fue antes de la pandemia...",,1,
4375,Jajajajajajajaja eso mismo taba pensando,,1,
4376,Yo prefiero parir mil veces 🤣 el dolor post ... es mucho mejor,,1,
4377,Fabre Gas viendo éste Tweet disque...,,1,
4378,Las tasas de mortalidad aumentan gradualmente según las edades,,1,
4379,Habrá que ver primero si en Costa Rica tienen algún puente como nuevo sin uso.,,1,
4380,y aunque te extrañe mas que nunca prometo no regresar..,1,,
4381,Cual es el telefono de contacto de cedulacion por favor Gracias.,,1,
4382,Vengaaa! Aca la espero,,,1
4383,Jajaja que pereza con ese hombre 🤣,,1,
4384,"Como olvidarte, si todo me recuerda a ti... 😕😔",1,,
4385,Cuando habla Pino me pregunto que esta haciendo Mirones en este momento.,,1,
4386,"Doy fe de ello, no les dan el equipo necesario para su protección y están todos los días expuestos!!!",1,,
4387,"Estoy extrañando tanto a mi viejito, hoy cumple 86😭♥️",1,,
4388,Usted sabe que está perdiendo su tiempo no? Estos manes nama están pa la rebusca..,1,,
4389,"Y como Moisés levantó la serpiente en el desierto, así es necesario levantar al Hijo del Hombre. JESÚS.!!!",,1,
4390,Debieron llevarla detenida. Violando la Ley y extranjera.palo,1,,
4391,si no tengo de tu piel downn,,1,
4392,"Chuzo hasta allá no se brother... Pero tengo entendido que unos tenían los permisos. Y bueno, el tachi no...",,1,
4393,"Cuando uno fluye, cualquier tarea es facil",,,1
4394,"Por favor NO QUIERO ME REGALEN NADA YO PAGO LO QUE QUIERO ES MIS PIEZAS Y REPUESTOS .QUE NO SON DE GARANTIA"".YO LAS PAGO SEAN RESPONSABLES DE VENDER PRODUCTOS ""CON REPUESTOS"".""",1,,
4395,"yo soy la cara : A. De la dictadura. B. Impunidad. C. Corrupción D. Todas las anteriores. Por cierto yo no soy una cuenta falsa, soy un millennial que entiende que le hizo mucho daño a Panamá y está como si nada. #ProhibidoOlvidar",,1,
4396,"El levantamiento de la ley seca, en algunos municipios...",,1,
4397,Normalicen que las salidas con personas de sexo opuesto no sean solo citas sino también para hacer amistades bonitas.,,1,
4398,Que pereee la U y apenas va empezando,,1,
4399,Ey no salgan y el q salga a comprar a su familia tome medidas extremas de bioseguridad. Aseo extremo No entrar con nada de afuera cambiarse todo echar lysol. No entrar con zapatos. Ufff gel alcoholado echar la ropa con cloro agua jabon etc.estricto,,1,
4400,"Chuzo brother, estás tarde!!!",,1,
4401," Me gusta tus intervenciones, siempre dando ese toque imparcial.",,,1
4402,"Usted es sensata, no se deje arrastrar por la tozudez del alcalde.",,,1
4403,‘The Economist’ afirma que la confianza pública en el gobierno de Cortizo ‘se ha desmoronado’,,1,
4404,Devuelta con la cara larga y las manos vacías....,1,,
4405,"Brother, a veces lo apagan cuando no hay mucho tráfico",,1,
4406,Fabregas ahora mismo entre sus copartidarios y capitalinos.,,1,
4407,Otra semana más para el olvido,1,,
4408,"Nito cortizo, con mención especial a todos sus subalternos, órgano judicial y legislativo",,1,
4409,"Ay madre, la pregunta del Profesor Escobar.",,1,
4410,Ahora sabemos que tendrá el mejor motivo para defender el Rojo del San Fran... 👍,,1,
4411,La Desdy dándolo todoooo!!,,,1
4412,es una burla o que? Escribimos en la plataforma y nadie responde. Entonces pagamos tanto dinero para que estemos en el aire!,1,,
4413,La corrupción e impunidad.,1,,
4414,"Entonces que se deje intimidar, eso quiere decir? Que se quede callada? o cual seria la solución? 🤔",,1,
4415,"Porque Dios pelea por su pueblo. Los gobertes civiles no gobier como es debido ellos son avergonzados, como lo hemos visto.",1,,
4416,"En estas fechas, celebramos al niño que vino a traernos la luz de la esperanza en tiempos oscuros.",,,1
4417,“Pinche Club Unión lleno de gente acomplejada y la mitad son unos ladrones.” Tremenda definición by Sor Lorena.,,,1
4418,Me parece injusto .aplaudo las medidas pero estan brindando un servicio y arriesgandose.,1,,
4419,La mama de Eliecer va a ganar esta xuxa 🤣,,,1
4420,"Sabes cuantas personas quisieran tener ese cansancio laboral que cargas, no te quejes y valora tu trabajo.",,,1
4421,Cien por ciento de acuerdo con usted.!,,,1
4422,Sobre todo ME JO RAR (en todo el sentido de la palabra) nuestro sistema sanitario.,,1,
4423,"Varela lo volvió a hacer, metió a los manes en una lista de lavado en los Estados Unidos, se le está yendo la mano a Varela",1,,
4424,La gente emocionada por la nueva copa y uno aqui que no quiere ser hater 🌝🤭,,1,
4425,"Señor Presidente Nito Cortizo permitame hacerle saber, Por disposición de usted de confiar en algunos de su equipos publico que la Respresentante Osiris Alain de el Corregimiento del Marañon de Sona' Veraguas esta mal distribuiyendo las bolsa.",1,,
4426,Ahora todo es de apuro 30 dias hacen hospital Ah Salen equipos Cuando se debe preveer tener vision de futuro Algo bueno se les quede como leccion.,1,,
4427,Hay no ya Olvídense de ese coronavirus que plaga y virus no tocará nuestra morada sometánse al Señor y estarán bajo sus alas. Méditen en Deuteronomio 28 y encontrarán la cura.,,1,
4428,"Rayos Tocara ver todo en una sentada. Que difícil la vida! Y de donde saco el tiemp- Ah, cierto, tengo el tiempo para eso. nos vemoooossss",,1,
4429,Yo toy clarito que es lo primero que voy a hacer y no esta en esa lista. Adeooooo,,1,
4430,Vivo que te escribe que te demandarán jajaja,,1,
4431,"En estas fechas, celebramos al niño que vino a traernos la luz de la esperanza en tiempos oscuros.",,,1
4432,Igual aplica para el 31...,,1,
4433,"Ey pero por ahí dice una influencer"" que tu no cantas nada bueno 🤭🤭🤭""",,1,
4434,La playa lo tiene lento....,1,,
4435,unas ganas de ir a un baile del mechi terror 😩💃🏻,,1,
4436,Dice el gobernador de Guna Yala que el valor de el PRD esta en su gente 😁 ¿Regresamos a la narco dictadura?,,1,
4437,Volvió el RT 😍 Practiquen aquí 😅,,1,
4438,Que lio terminar una serie de 7 temp,,1,
4439,Por mi que hagan su base para ver si baja un poco el crimen organizado en Panamá.,,1,
4440,Con la vara que mides serás medido y una cuarta más,,1,
4441,Zulay querida el Pueblo esta con tigo 🙏🇵🇦,,,1
4442,"No lo soy y es simplemente por no querer hijos en un mundo tan jodido y sobrepoblado. Si fuera a tener hijos, los adopto. Muchos nietos? No, uno es más que suficiente. No estoy de acuerdo de nada de lo que dijiste.",,1,
4443,días difíciles pero tratando de no pensar en ello.,,,1
4444,"Covid has us like: Mira, tu pon en el gym de tal a tal hora y yo te tumbo y después pongo yo. Después pones en la noche y asi nos vamos y cobramos todos. ok? #mismoneditaaaaaassss",,1,
4445,"Cuando hay mucho dolor, surge la inspiración cual poeta a la luz de la luna... 👍",,,1
4446,Tienes una gran suerte que se que eres super sensitivo porque si no te doy tu parkeo sabroso que te pareces. Clown.,1,,
4447,Gracias Boza por distraernos un rato. Back to PRD ... malditos ladrones,,,1
4448,Ey eso parece un capítulo del funcionario 😂,,1,
4449,"Buenos días a todos, incluyendo a quienes se atrevan a no hablar por un rato de coronavirus",,1,
4450,"aveces quiero quedarme tranqui un domingo, pero man la gente no me dejaa 😫😂",1,,
4451,Bella pareja.tu padre gran a.igo de mi padre Ruben D Samudio,,,1
4452,Carta a la población Panameña.,,1,
4453,Soy adicto a ver tus historias,,,1
4454,"Josip Andrey eres un luchador y tu carácter te ayudará a seguir en busca de tus metas, Te Amo AnRey de Abuelo... ❤️",,,1
4455,Fabre Gas viendo éste Tweet disque...,,1,
4456,¿Para eso desintegraron a la mesa de científicos que tenía la Dra. Turner? ¿Para llamar al Club de Leones? 🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡,1,,
4457,Cien por ciento de acuerdo realizo un excelente trabajo.,,,1
4458,Voy hacer mi propio álbum de fotos con los mejores recuerdos de mi vida.,,,1
4459,#NAME?,,1,
4460,Acá en Bella Vista está fatal el internet con Cable Onda también. Ayer vinieron a mi casa a cambiar el equipo y no mejoró nada. Es la señal.,1,,
4461,El de Varela...!? Señor usted perteneció a ese gobierno! Y si ese hospital estuviera listo por lo menos de algo nos hubiera servido. Indolentes todos! TODOS!! Saludos!,1,,
4462,"Traducción, hagan lo que le den la gana, nos vale 3 hectáreas de... Lo que piensen de nosotros""""",,1,
4463,"Es lo que esperaba, si. Pero aquí nada.",1,,
4464,El en segundo video ella estaba contenta porque el amigo le pagó un McDonald's 😑,,1,
4465,“Hay que respetar la opinion de otros” Opinion de otros:,,1,
4466,"pone en la cuenta de asemlat NO VESTIDOS TRANSPARENTES, y outfit del miercoles es super transparte y lo peor es que el lo sabe, creo que me va a sacar ps 🤣🤣🤣",,1,
4467,Inmunidad después de Covid19,,1,
4468,Hey bro dice mi primo que es su amor platonico que si le puedes pasar el link 😂😂,,1,
4469,este año no hay guarachooo 😭🥺 y el año pasao ni aguante la amanecía 😂😂😂,,1,
4470,"demen la formula pa dormir temprano gracias, adiós",,1,
4471,Han obedecido a Dios? Han honrado a Dios? Al contrario han hecho caso omiso. Dios en su infinita misericordia convocara nuevamente a la nación 10 de julio 2020. A los Cinco Gobiernos.,,1,
4472,"Traqui, no ha pasado nada. Se reversa la transacción y listo. A cualquiera le pasa 😊😊",,,1
4473,"Es triste, pero muchas empresas van a quebrar... ☹️",1,,
4474,"Panamá espero que tengan excelente día y que Dios bendiga sus vidas, sus familias y sus bienes... 🙏🙏🙏",,,1
4475,Brother recuerda que ellos a través del apoyo de periodismo independiente de son los que han ayudado a destapar los chanchullos del gobierno corrupto PRD.,,1,
4476,Aún no entiendo ese reto 😅,,1,
4477,man todavia estoy afónica de carnavales.,,1,
4478,"En sus tiempo de rebelión contra Dios no había Paz, los problemas causaba molestia a la nación por todas partes el crimen iba en aumento......... mientras no se obedezca lo que Dios está demandando las cosas irán de mal en peor.",,1,
4479,"Hahah, me imaginaba. Pero me pareció la respuesta correcta. 😅",,1,
4480,Ey!!! ya en serio ¿Dónde está el Presidente y el vicepresidente? ¿Quién está en la torre de control? ¿SUCRE?,,1,
4481,"Ante lluvia inesperada y gritos de su madre, joven de la localidad corre a recoger ropa tendida al sol.",,1,
4482,Las grandes ironías del GobierNITO.,1,,
4483,Y el editar tweet pa cuando?,,1,
4484,"Es que puede ser la version nueva, porque eso fue literal hace 5 - 6 años cuando Berlín le estaba explicando el atraco al profe",,1,
4485,"Los comments, RTs y etc de esto are just so good. p.s. si eres zurdo no me hables, eso es ANTINATURAL.",,1,
4486,Sres. su pronunciamiento de hoy deben subsanarlo presentándose en el día de mañana en la protestas programadas por la sociedad civil. Lo esperamos. 🇵🇦,,1,
4487,"Lo increible no es la información mal intencionada de la Sra. Contra Guaido sino que Chuo Torrealba le haya dado un Like , es realmente oposición ?",,1,
4488,Yo con gente súper llorona.,1,,
4489,El idioma del futbol es el español,,1,
4490,"Vamos Chiriquí, uno es ninguno y la # 15 es de nosotros, lo dice un Chorricano de Chorrera...METO... 👍",,,1
4491,#NAME?,,1,
4492,Que bajo caes SHAME ON YOU!!! 😐,1,,
4493,no hay mas manes que sus exxxss??? cha madre HAY MAS HOMBRES,1,,
4494,Ya salió la gente a decir que los que no carnavalean se creen mas intelectuales?,,1,
4495,Alguien que le mande ese comunicado al Dr. Tapia.,,1,
4496,"IGNORANTES .SEUDO PANAMEÑOS.AVENIDA DE LOS MÁRTIRES """"",,1,
4497," 2 cosas, 1. El tipo usa un cojin para verse más alto sentado. 2. Tiene un control de televisor en el escritorio, ¿o sea que le pagan por ver Netflix?",,1,
4498,"Ahora, un cuento de terror.",,1,
4499,"Como siempre Rubén es un honor que hayas nacido en este Istmo, tu talento y tu amor por Panamá son parte de las glorias que tenemos los panameños...Te Queremos y Queremos a Panamá... 🇵🇦❤️🇵🇦",,,1
4500,"Mujer, quédate con el hombre que te miré como Nito mira a su esposa.",,,1
4501,El contexto está súper dumb pero como me ríe del video. La man martillando la llanta 10/10.,,1,
4502,︙Twitter no sufre de amnesia ●⭕●,,1,
4503,El embajador es cool y sabe que este tipo de debates son estériles.,,,1
4504,Todo Panamá impactado en Noviembre con los rebrotes,,1,
4505,Es un caso de alto perfil por estar involucrado un ex presidente que manejo la cosa pública 🤷‍♀️,,1,
4506,"Tenemos que escuchar la otra parte, pero claramente dijo la defensoria que fue por irrespeto al acuerdo y ellos( Defensoria) ahora son mediadores.",,1,
4507,Carta abierta al Alcalde José Luis Fábrega.,,1,
4508,quien me pone un barbero loco es urgente,,1,
4509,"estreno ELITE, tercera temporada man. toy bien feli 🙂",,,1
4510,"en Pmá no permiten reuniones, por ley los restaurantes están cerrados y hay toque de queda, sin embargo los diputados oficialistas están reunidos en un restaurante repartiéndose el dinero del pueblo. Las personas están enfurecidas con pilas protestando afuera.",1,,
4511,"Eliminé Spotify, ¿hay otra manera de escucharlo?",,1,
4512,El tener un hogar humilde no quiere decir que tengas que tener tu casa cochina,,1,
4513,"déjenme decirles que yo soy bien insesible a veces con casi todo (excepto los animales) pero broer esta noticia aún me tiene en shock, no me quiero ni imaginar el dolor de sus familias 😭💔",1,,
4514,"Ey a esos que conozco y le doy follow en twitter y no me dan follow back, váyanse pa la pinga fuckines payasos",1,,
4515,"Cuidado te amenaza que te va a demandar por andar cuestiodolo (así como él cuestiona a todos los gobiernos, menos al PRD).... 👀",,1,
4516,Cuando vienes?,,1,
4517,Jaja no entendiste...,,1,
4518,Hola! Estoy haciendo estos sueters personalizados en mi cuenta de IG dulcesdetalles.bynyl ♥️,,1,
4519,Ese transporte debe ser desde sus casas hasta su lugar de trabajo y viceversa!!,,1,
4520,Al final todos los apellidos vienen del lado paterno (incluso el de la madre) así que indirectamente esta utilizando el apellido de un hombre... 😜,,1,
4521,"Felicitaciones por esos 18 años , ciertamente la nueva PDVSA debería contar con ustedes , con Todos que incluye a todos . 👍",,,1
4522,"Palo porque si, palo porque no 😂",,1,
4523,"man cada vez que vayan a uno de esos lugares (la mayor, dynasty, capri... todos esos clubs nocturnos) pónganse a pensar en sus hermanas, hijas, mamás, tías... *cierto hay muchas mujeres que se dedican a esto y todo esta bajo su consentimiento* pero hay mujeres que no...",,1,
4524,"Ni con A/C. Like, vayase pa su lado de la cama. Dejeme.",,1,
4525,Franklin dice Eric Collins que abras una sucursal en Chorrera... 👍,,1,
4526,"Cojan la cosa con calma tenemos una de las mejores policías del mundo pero por todos no se llama a guerra, eso se trata de la parte diplomática",,,1
4527,QUE TANTA VERDAD DE INFORMACION ESTAMOS REcibiendo Ya con lo indicado por la doctora Turner la que TENIA toda mi credibilidad A QUIEN CREEMOS????,1,,
4528,Interesante!!! Y vale la pena que la gente sepa esta maleanteria,,,1
4529,Yo soy alérgico a los Mariscos y Aines No me la puedo poner Me llevo el Covid19 😔🙈,,1,
4530,"Ya lo he dicho como abogado que soy, todo aquel que delinque en medio de esta crisis, debe ser sancionado con la pena más graves, sin derecho a atenuantes, delito de lesa humanidad... 🇵🇦",,1,
4531,Mi sobrino! Y abre hasta el congelador... Que manía!,,1,
4532,NETFLIX!! ME CABREAS CON TUS 8 CAPS! Y tus finales abiertos ya vas se 2/2 😢,1,,
4533,Algo que odio es que me llamen por la palabra amigo,1,,
4534,Todo esto es una pantalla de humo para desviar la atención de los $50k millones en deuda que tendremos.,,1,
4535,man maldita sea la hora en la que uno fk engorda 😫chamadre y reventarse haciendo ejercicio pa bajar esas libras 😭😭😭,1,,
4536,Que va pa mas movil es la marca quizas es algo mal puesto pero el internet es constante,,,1
4537,Nadie tiene la cara de Sucre cuando Nito dijo que se las iba a rifar? Es para una tarea.,,1,
4538,Uno de ellos se cree doctor 🤣,,1,
4539,"Dios está con nosotros. ¿No te he mandado que seas valiente y firme? No tengas miedo ni te acobardes, porque Yahveh tu Dios estará contigo dondequiera que vayas.» Josué 1,9",,1,
4540,no juegues con un corazón porque al final se parte.,1,,
4541,toy kb de ta haciendo dieta y ejercicios 😫 quiero comer muchisimo sin engordar MALDITA SEA 🥺,1,,
4542,Necesito el nivel de relajación de Ulpiano,,1,
4543,es bien cool mani JAJAJA 😂,,,1
4544,No soy médico y hace días les estoy diciendo LAVENSE LAS MANOS!! Dejen la histeria y mala información,,1,
4545,Ahora viene la teleton y le dona guantes y mascarillas al MINSA 🤡🤡,,1,
4546,Mientras tanto en Roma... Como debe ser: cada quien haciendo lo que piensa correcto sin tanto show.,,1,
4547,Lo mismos 4 bellacos de siempre que no quieren que las cosas cambien.,1,,
4548,"Doctor, ¿Es legal que te esposen por violar el decreto de movilidad?",,1,
4549,Sobre todo ME JO RAR (en todo el sentido de la palabra) nuestro sistema sanitario.,,1,
4550,"Le voy a preguntar al pastor griton, el si responde (siempre y cuando le regale el 10% de mis ingresos)",,1,
4551,Yo tambien era como ella 🤣🤣,,1,
4552,Mándame ese video al dm porfa 🤣,,1,
4553,"¿Y los casinos, no van a cerrar?",,1,
4554,Ender Inciarte comienza a hacer de las suyas con el guante #MLB 👍😎⚾️ Transmisión de,,1,
4555,"Registrar el ADN de todos los argentinos (pobres, cuantos flagelos!) infringe X convenciones internacionales. Choca además q la idea venga de Bulrich cuyo pasado debió conducirla en carcél con ADN registrado. Es tiempo que se inicie una indagatoría x incitación al suicidio de Nis",,1,
4556,La señora tejiendo y el señor chill viendo sus noticias hahaha,,1,
4557,"a mi me cacharon peor, pero aqui estoy 🤣🤣🤣😆",,1,
4558," Oye pero el man ya pidió disculpa, que MÁS quieren... 👀",,1,
4559,FDA acaba de dar autorización de emergencia a vacuna de Pfizer,,1,
4560,No puedes luchar contra una pandemia cuando estás enfocado en robar,,1,
4561,Estoy tan jodido que llevo 16 horas sin probar un cigarro,,1,
4562,"¿Se supone que por decirme cueco"" me debo ofender? Jaja, feliz domingo señor One Two. 👍""",,1,
4563,Se inundo la via a Darien🤣🤣 Tendra la culpa Blandon?,,1,
4564,VE TRANQUILA QUE DIOS TIENE CUIDADO ISAÍAS 41:10. Este es mi tel. Si necesitas oración y guianza para conocer y entender más a Dios soy Pastora. 62145722.,,1,
4565,"La combinación de torpeza, mascarilla y anteojos me convierte en alguien muy peligroso para la sociedad 🤣",,1,
4566,"Buena pregunta, tengo muchas botellas de vidrio y mi esposa quiere botarlas, no estaría mal cambiarlas por algo de dinero... 👍",,,1
4567,"sé bien que la cague y las noche son un fantasma, ahora me visita el karma🔥",1,,
4568,Porque el Ministro del Canal no invierte eso en el IDAAN para beneficiar a todo el país?.,,1,
4569,Flor le debe de pasar el dato de como cambiar de vestuario a los cantantes para que ahorren tiempo en sus conciertos. 🤣🤣,,1,
4570,"_ Guantio a la mujer? Ahh no perate, eso fue antes de la pandemia...",,1,
4571,ahora que me pongo a pensar en absolutamente que tóxica y mala persona me estaba volviendo😫😭,1,,
4572,"No lo había visto de esa manera, bro 🤔🤔",,1,
